ToM (+2400000);Ucrt(d);Type;E,Phi;P_Shift;E GCVS;O-C (d);Observer;Reference (see bibliography);source
26400.7730;0.150;vis;-7443.53;0;-7444;1.740;Mergentaler 1941;Szabados 1977;ADS
26419.4380;0.150;vis;-7438.53;0;-7439;1.760;Dufay 1947;Turner 2007 tab. 3;ADS
26467.8590;0.150;vis;-7425.54;0;-7426;1.710;Nielsen 1939;Szabados 1977;ADS
26475.3640;0.150;vis;-7423.53;0;-7424;1.760;Kowalczewski;Szabados 1977;ADS
26520.0230;0.150;vis;-7411.55;0;-7412;1.670;Kukarkin 1940;Szabados 1977;ADS
26587.2210;0.150;vis;-7393.53;0;-7394;1.760;Dufay 1947;Szabados 1977;ADS
26788.4970;0.037;vis;-7339.54;0;-7340;1.700;Dufay 1947;Dufay 1946;ADS
26911.5380;0.150;pg;-7306.54;0;-7307;1.700;Grouiller 1947;Szabados 1977;ADS
26971.2490;0.150;vis;-7290.53;0;-7291;1.750;Dufay 1947;Turner 2007 tab. 3;ADS
27094.2860;0.150;pg;-7257.53;0;-7258;1.750;Grouiller 1947;Grouiller, 1947;ADS
27325.4240;0.150;vis;-7195.54;0;-7196;1.720;Dufay 1947;Szabados 1977;ADS
27358.8830;0.150;pg;-7186.56;0;-7187;1.620;Grouiller 1947;Grouiller, 1947;ADS
27448.2810;0.150;pg;-7162.59;0;-7163;1.540;Grouiller 1947;Grouiller, 1947;ADS
27452.1250;0.150;pg;-7161.56;0;-7162;1.650;Grouiller 1947;Szabados 1977;ADS
27463.2620;0.150;pg;-7158.57;0;-7159;1.610;Grouiller 1947;Grouiller, 1947;ADS
27489.4740;0.150;pg;-7151.54;0;-7152;1.720;Grouiller 1947;Grouiller, 1947;ADS
27504.4000;0.150;vis;-7147.54;0;-7148;1.730;Dufay 1947;Turner 2007 tab. 3;ADS
27687.0130;0.150;vis;-7098.56;0;-7099;1.650;Krebs 1937;Szabados 1977;ADS
27836.0600;0.050;vis;-7058.58;0;-7059;1.560;Krebs 1937;Meyer 2023;ADS
28000.1600;0.050;vis;-7014.57;0;-7015;1.600;Krebs 1937;Meyer 2023;ADS
28358.0740;0.150;vis;-6918.58;0;-6919;1.580;Krebs 1937;Szabados 1977;ADS
28488.5100;0.050;vis;-6883.59;0;-6884;1.520;Krebs 1937;Meyer 2023;ADS
